Algoritmo,Objetivo,Tempo de processamento
Busca em Largura,1,14
Busca em Largura,2,14
Busca em Largura,3,13
Busca em Largura,4,13
Busca em Largura,5,16
Busca em Largura,6,26
Busca em Largura,7,30
Busca em Largura,8,48
Busca em Largura,9,61
Busca em Largura,10,92
Busca em Largura,11,876
Busca em Largura,12,198
Busca em Largura,13,267
Busca em Largura,14,406
Busca em Largura,15,513
Busca em Largura,16,697
Busca em Largura,17,976
Busca em Largura,18,1401
Busca em Largura,19,24057
Busca em Largura,20,2710
Busca em Largura,21,3534
Busca em Largura,22,4988
Busca em Largura,23,6550
Busca em Largura,24,27196
Busca em Largura,25,27115
Busca em Largura,26,36320
Busca em Largura,27,41420
Busca em Largura,28,74646
Busca em Largura,29,119864
Busca em Largura,30,170213
Busca em Largura,31,210309
Busca em Largura,32,332089
Busca em Largura,33,497113
Busca em Largura,34,663469
Busca em Largura,35,886171
Busca em Largura,36,353074
Busca em Largura,37,900146
Busca em Largura,38,753394
Busca em Largura,39,532397
Busca em Largura,40,92888
Busca em Largura,41,204240
Busca em Largura,42,147725
Busca em Largura,43,339875
Busca em Largura,44,279656
Busca em Largura,45,609454
Busca em Largura,46,609351
Busca em Largura,47,195243
Busca em Largura,48,304919
Busca em Largura,49,205162
Busca em Largura,50,918236
