Algoritmo,m,Objetivo,Tempo de processamento
Busca em Profundidade,10,1,48
Busca em Profundidade,10,2,13
Busca em Profundidade,10,3,12
Busca em Profundidade,10,4,10
Busca em Profundidade,10,5,8
Busca em Profundidade,10,6,11
Busca em Profundidade,10,7,14
Busca em Profundidade,10,8,12
Busca em Profundidade,10,9,12
Busca em Profundidade,10,10,14
Busca em Profundidade,10,11,14
Busca em Profundidade,10,12,16
Busca em Profundidade,10,13,20
Busca em Profundidade,10,14,18
Busca em Profundidade,10,15,18
Busca em Profundidade,10,16,29
Busca em Profundidade,10,17,20
Busca em Profundidade,10,18,25
Busca em Profundidade,10,19,30
Busca em Profundidade,10,20,24
Busca em Profundidade,10,21,21
Busca em Profundidade,10,22,1828
Busca em Profundidade,10,23,1706
Busca em Profundidade,10,24,1691
Busca em Profundidade,10,25,1685
Busca em Profundidade,10,26,1633
Busca em Profundidade,10,27,1589
Busca em Profundidade,10,28,1582
Busca em Profundidade,10,29,1582
Busca em Profundidade,10,30,1548
Busca em Profundidade,10,31,1447
Busca em Profundidade,10,32,1429
Busca em Profundidade,10,33,1530
Busca em Profundidade,10,34,1324
Busca em Profundidade,10,35,1322
Busca em Profundidade,10,36,1336
Busca em Profundidade,10,37,1326
Busca em Profundidade,10,38,1250
Busca em Profundidade,10,39,1358
Busca em Profundidade,10,40,1325
Busca em Profundidade,10,41,1323
Busca em Profundidade,10,42,1295
Busca em Profundidade,10,43,1311
Busca em Profundidade,10,44,1301
Busca em Profundidade,10,45,1313
Busca em Profundidade,10,46,1295
Busca em Profundidade,10,47,1256
Busca em Profundidade,10,48,1249
Busca em Profundidade,10,49,1340
Busca em Profundidade,10,50,1239
Busca em Profundidade,100,1,2
Busca em Profundidade,100,2,5
Busca em Profundidade,100,3,4
Busca em Profundidade,100,4,6
Busca em Profundidade,100,5,5
Busca em Profundidade,100,6,6
Busca em Profundidade,100,7,7
Busca em Profundidade,100,8,7
Busca em Profundidade,100,9,8
Busca em Profundidade,100,10,9
Busca em Profundidade,100,11,8
Busca em Profundidade,100,12,9
Busca em Profundidade,100,13,10
Busca em Profundidade,100,14,11
Busca em Profundidade,100,15,11
Busca em Profundidade,100,16,12
Busca em Profundidade,100,17,12
Busca em Profundidade,100,18,17
Busca em Profundidade,100,19,13
Busca em Profundidade,100,20,23
Busca em Profundidade,100,21,14
Busca em Profundidade,100,22,15
Busca em Profundidade,100,23,15
Busca em Profundidade,100,24,18
Busca em Profundidade,100,25,17
Busca em Profundidade,100,26,20
Busca em Profundidade,100,27,17
Busca em Profundidade,100,28,19
Busca em Profundidade,100,29,19
Busca em Profundidade,100,30,21
Busca em Profundidade,100,31,20
Busca em Profundidade,100,32,22
Busca em Profundidade,100,33,22
Busca em Profundidade,100,34,23
Busca em Profundidade,100,35,23
Busca em Profundidade,100,36,27
Busca em Profundidade,100,37,29
Busca em Profundidade,100,38,24
Busca em Profundidade,100,39,23
Busca em Profundidade,100,40,25
Busca em Profundidade,100,41,25
Busca em Profundidade,100,42,26
Busca em Profundidade,100,43,27
Busca em Profundidade,100,44,31
Busca em Profundidade,100,45,70
Busca em Profundidade,100,46,28
Busca em Profundidade,100,47,29
Busca em Profundidade,100,48,31
Busca em Profundidade,100,49,58
Busca em Profundidade,100,50,64
