Algoritmo,Objetivo,Tempo de processamento
Busca em Profundidade Iterativa,1,31
Busca em Profundidade Iterativa,2,14
Busca em Profundidade Iterativa,3,9
Busca em Profundidade Iterativa,4,16
Busca em Profundidade Iterativa,5,14
Busca em Profundidade Iterativa,6,34
Busca em Profundidade Iterativa,7,29
Busca em Profundidade Iterativa,8,48
Busca em Profundidade Iterativa,9,43
Busca em Profundidade Iterativa,10,74
Busca em Profundidade Iterativa,11,71
Busca em Profundidade Iterativa,12,149
Busca em Profundidade Iterativa,13,143
Busca em Profundidade Iterativa,14,263
Busca em Profundidade Iterativa,15,266
Busca em Profundidade Iterativa,16,520
Busca em Profundidade Iterativa,17,531
Busca em Profundidade Iterativa,18,1016
Busca em Profundidade Iterativa,19,996
Busca em Profundidade Iterativa,20,2012
Busca em Profundidade Iterativa,21,1950
Busca em Profundidade Iterativa,22,3538
Busca em Profundidade Iterativa,23,3418
Busca em Profundidade Iterativa,24,6832
Busca em Profundidade Iterativa,25,6366
Busca em Profundidade Iterativa,26,12103
Busca em Profundidade Iterativa,27,11519
Busca em Profundidade Iterativa,28,21378
Busca em Profundidade Iterativa,29,21297
Busca em Profundidade Iterativa,30,41605
Busca em Profundidade Iterativa,31,41967
Busca em Profundidade Iterativa,32,82887
Busca em Profundidade Iterativa,33,84594
Busca em Profundidade Iterativa,34,169252
Busca em Profundidade Iterativa,35,169300
Busca em Profundidade Iterativa,36,337075
Busca em Profundidade Iterativa,37,337505
Busca em Profundidade Iterativa,38,664518
Busca em Profundidade Iterativa,39,673080
Busca em Profundidade Iterativa,40,344514
Busca em Profundidade Iterativa,41,345901
Busca em Profundidade Iterativa,42,640348
Busca em Profundidade Iterativa,43,638784
Busca em Profundidade Iterativa,44,272635
Busca em Profundidade Iterativa,45,291238
Busca em Profundidade Iterativa,46,545415
Busca em Profundidade Iterativa,47,565809
Busca em Profundidade Iterativa,48,56284
Busca em Profundidade Iterativa,49,115026
Busca em Profundidade Iterativa,50,247445
